Trait	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	StandCount	StandCount	StandCount	StandCount	StandCount	StandCount	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselBranchLength	TasselBranchLength	TasselBranchLength	TasselBranchLength	Spikelets-MainSpike	Spikelets-MainSpike	Spikelets-PrimaryBranch	Spikelets-PrimaryBranch	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	TasselSterility	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	NumberofLeaves	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	TilleringIndex	TilleringIndex	TilleringIndex	TilleringIndex	TilleringIndex	UpperLeafAngle-BorderPlant	LeafWidth-BorderPlant	LeafSheathLength	TilleringIndex-BorderPlant	Phylotaxy	NumberofTilleringPlants	NumberofTilleringPlants	SizeofTillers	NR	NR	CS	GS	GLDH	AlaAT	AGPase	ShikDH	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIROil	NIROil	NIROil	NIROil	NIROil	NIROil	NorthernLeafBlight	NorthernLeafBlight(Percentage)	NorthernLeafBlight(Percentage)	NorthernLeafBlight-IncubationPeriod	SouthernLeafBlight	SouthernLeafBlight	SouthernLeafBlight	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	KernelFillPercentage	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	RowQuality	RowQuality	HerbicideSensitivity
CML108	7	5	9.5	6	NaN	7	6	6.5	5	16	8	NaN	NaN	90	105	82	61	87	80	86	96	82	NaN	89	105	81	58	85	80	87	96	84	NaN	964.80278	1032.884445	893.610555	1028.331665	883.331665	1037.413335	920	1128.02389	1159.97111	NaN	1068.41	964.80278	1017.567223	888.331665	980.55278	856.384445	1037.413335	920	1144.05278	1196.72111	NaN	14.13	0	15.3172225	5.27389	47.77389	26.94222	0	0	-16.02389	-36.75	NaN	373	327	422	237	423.5	380	374	NaN	296	280	344	172	355.5	278	302	NaN	9	5	5.5	4	5.5	10	7	NaN	NaN	224	212	254	27	21	24	17	NaN	2	1	2	NaN	NaN	155	125	142.5	105	155	195	160	100	145	170	NaN	65	55	60	35	60	95	60	35	90	90	NaN	4.5	843	733	848	734	923	961	896	684	929	102	103	99.75	65	97	95	93	105	98	70	80	72.5	50	55	50	75	NaN	NaN	NaN	65	52.5	NaN	55	NaN	NaN	NaN	0	0	NaN	NaN	NaN	81	160	0	250	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.68	66.56	65.59	67.37	67.68	NaN	NaN	11.87	12.68	13.44	12.31	11.54	NaN	4.94	4.74	4.61	5.1	5.26	NaN	3	NaN	NaN	NaN	7.5	7.75	5.5	NaN	34	NaN	27.265	NaN	34	29.935	38	NaN	23.4	10.4875	13.5	NaN	30	26.22	20.25	NaN	39	NaN	35.64	NaN	44	40.85	44.5	NaN	126	125.5275	109.11	NaN	160	140.03	120.5	NaN	97	97.395	NaN	139	111.87	102	NaN	18	NaN	13.5	NaN	20	17	18	NaN	50	NaN	45	NaN	NaN	NaN	47	NaN	50.9	NaN	115	58.385	67.5	NaN	16	NaN	16	NaN	17.5	NaN	2.1	NaN	4.85	NaN	4.3	4.345	3.9	3	3	NaN
CML11	4	8	11.5	6	NaN	5	6	6.5	8	11	6	NaN	NaN	NaN	119	88.5	66	103	86	NaN	NaN	85	NaN	95	119	84.5	66	98	82	NaN	NaN	82	NaN	964.80278	1142.942223	962.22111	1104.44222	1005.27389	1124.69222	970.831665	NaN	1216.47111	NaN	1154.52	NaN	1074.331668	948.884445	1104.44222	994.163335	1071.80278	959.72111	NaN	1159.97111	NaN	NaN	NaN	68.610555	13.331665	0	11.110555	52.884445	11.110555	NaN	56.5	NaN	464	454	NaN	295	NaN	322	445	392	311	258	NaN	190	NaN	166	241	216	17	20	NaN	9	14	19	24	19	NaN	278	NaN	208	21	22	12	13	NaN	7	NaN	5	4	NaN	145	210	182.5	125	145	200	200	115	185	170	NaN	85	135	115	60	80	135	125	65	130	85	NaN	4	835	930	851	NaN	905	934	786	NaN	948	101	91	95.5	NaN	94	89	97	NaN	86	50	85	NaN	60	NaN	NaN	NaN	NaN	NaN	NaN	80	NaN	NaN	75	NaN	NaN	NaN	0	0	NaN	NaN	NaN	98	167	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.27	71.4	65.42	NaN	NaN	NaN	NaN	14.7	12.8	14.7	NaN	NaN	NaN	3.79	4.86	5.93	NaN	NaN	2	NaN	NaN	NaN	8.5	8.25	7	NaN	24	18.7675	21.61	22	NaN	20.575	NaN	NaN	15	11.1925	11.05	9.4	NaN	15.4	NaN	NaN	32	NaN	31.255	32	NaN	31.07	NaN	NaN	170	141.86	123.32	119	NaN	159.75	NaN	NaN	NaN	94.675	114	NaN	128.555	NaN	NaN	10	NaN	11	10	NaN	10	NaN	NaN	NaN	NaN	45	40	NaN	NaN	22	NaN	47.25	43	NaN	43.6	NaN	NaN	NaN	NaN	18	18	24.5	NaN	NaN	NaN	4.25	4.6	NaN	3.6	NaN	1	1	NaN
CML14	3	6	11	6	NaN	1	8	7	8	15	6	NaN	NaN	NaN	NaN	99.5	59	NaN	99	NaN	NaN	95	NaN	NaN	NaN	96	60	NaN	93	NaN	NaN	92	NaN	NaN	1334.58165	962.22111	997.22111	NaN	1342.97111	963.884445	NaN	1373.05278	NaN	NaN	NaN	1287.869985	936.94222	1014.163335	NaN	1235.47111	963.884445	NaN	1321.110555	NaN	NaN	NaN	46.706665	25.27389	-16.94222	NaN	107.5	0	NaN	51.942225	NaN	NaN	381	NaN	264	368	391	NaN	NaN	NaN	188	NaN	224	260.5	239	NaN	NaN	NaN	23	NaN	10	15	16	NaN	NaN	NaN	286	230	226	0	35	0	15	NaN	5	1	3	NaN	2	NaN	165	142.5	80	130	NaN	145	85	160	175	NaN	NaN	90	95	35	80	NaN	85	40	95	75	NaN	4.5	848	746	872	664	882	1004	894	NaN	812	104	116	114	77	83	96	107	NaN	98	NaN	NaN	NaN	45	60	NaN	NaN	NaN	NaN	NaN	55	NaN	NaN	55	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	111	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.14	64.2	NaN	NaN	NaN	NaN	NaN	16.86	15.62	NaN	NaN	NaN	NaN	5.16	5.09	NaN	NaN	2	NaN	NaN	NaN	8.75	8.25	7	NaN	NaN	NaN	23.44	25	NaN	17.475	NaN	NaN	NaN	NaN	9	15.5	NaN	6.85	NaN	NaN	NaN	NaN	33.93	43	NaN	NaN	NaN	NaN	NaN	NaN	81.745	117	NaN	125.945	NaN	NaN	NaN	58.99	111	NaN	NaN	NaN	NaN	NaN	NaN	12	15	NaN	NaN	NaN	NaN	NaN	NaN	25	100	NaN	NaN	NaN	NaN	26.3	93	NaN	NaN	NaN	NaN	NaN	NaN	10.5	25	NaN	NaN	NaN	NaN	4.05	5.1	NaN	NaN	NaN	3	2	NaN
CML154Q	6	8	9.5	6	NaN	2	8	7	7	14	7	NaN	NaN	88	NaN	78	57	88	76	85	98	72	NaN	88	NaN	76.5	58	88	75	82	97	71	NaN	NaN	966.3027775	948.884445	964.44222	896.110555	970.610555	936.110555	1111	975.94222	NaN	1054.13	NaN	939.34611	913.05278	980.55278	896.110555	956.884445	936.110555	1055.75	958.47111	NaN	0	NaN	26.9566675	35.831665	-16.110555	0	13.72111	0	55.25	17.47111	NaN	433	372	421.5	323	413.5	378	448	359	364	310	341	280	329.5	285	361	326	12	11	9.5	7	17	15	19	18	NaN	296	233	263	25	32	14	13	NaN	0	0	1	NaN	NaN	130	120	125	85	140	180	125	110	165	145	NaN	70	60	65	40	80	120	75	55	95	85	NaN	4	759	878	764.25	703	881	865	774	907	852	92	75	68.75	60	69	77	70	83	87	70	NaN	55	50	65	55	45	NaN	70	NaN	75	67.5	NaN	75	NaN	NaN	0	0.5	0	NaN	NaN	55	74	151	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.81	68.87	NaN	NaN	NaN	NaN	NaN	12.515	12.74	NaN	NaN	NaN	NaN	3.375	4.06	NaN	NaN	NaN	3	NaN	NaN	NaN	8.5	8.5	8	45	34	30.925	25.485	31	31	29.975	36	47	39.2	29.2525	4.65	38	38	38.05	27.8	44	37	NaN	35.315	42	42	41.405	46	191	162	148.28	57.125	183	185	175.385	169	161	138	56.43	146	163	156.745	135	16	NaN	NaN	13	13	14	14	16	60	NaN	NaN	32.5	80	NaN	92	NaN	NaN	22.25	104	124	113.85	101	17	NaN	NaN	11.5	23	31	NaN	NaN	NaN	3.15	5.2	4.3	4.55	3.2	2	2	NaN
CML157Q	6	2	10	6	NaN	3	6	7.5	7	15	7	NaN	NaN	94	106	82.5	59	93	77	86	98	75	NaN	92	105	81	57	91	76	85	97	75	NaN	964.80278	1043.290833	913.05278	997.22111	949.163335	985.72111	920	1128.02389	1032.72111	NaN	1112.69	964.80278	1018.817223	888.331665	964.44222	930.831665	970.610555	904.72111	1111	1032.72111	NaN	27.16	0	24.4686125	24.72111	32.77389	18.331665	15.110555	15.27389	17.02389	0	NaN	367	360	NaN	305	300	288	375	391	219	203	NaN	188	163	125	208	227	19	19	NaN	15	22	16	19	24	NaN	268	181	202	30	32	16	20	NaN	6	3	3	6	NaN	180	195	185	110	150	185	200	125	195	235	NaN	125	125	107.5	55	65	140	125	60	130	170	NaN	5.5	959	1056	964.75	781	836	911	874	NaN	953	103	117	99.5	89	101	108	110	NaN	69	82.5	80	NaN	55	80	NaN	75	NaN	NaN	NaN	80	75	NaN	65	NaN	NaN	NaN	0	0	NaN	NaN	NaN	98	148	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.075	66.66	67.09	63.42	NaN	NaN	NaN	11.965	11.71	11.05	12.89	NaN	NaN	4.83	4.97	5.23	4.23	NaN	3	NaN	NaN	NaN	8.25	8.25	6.5	30	26	26.6775	21.65	29	NaN	28.505	34	26	11.2	22.7625	5.15	17.1	NaN	22.35	19.4	38	39.5	38.5175	33.385	40	NaN	43	49	103	138	130.7975	65.65	135	NaN	146.12	143	95	104	59.84	129	NaN	134.11	132	14	16	14	12	15	NaN	15	18	90	50	83.75	32.5	70	100	96	46.5	81.1625	30.75	85	NaN	111.85	107	25	18	20.5	12	20	23.5	NaN	3.2	5.0975	4.7	4.7	NaN	6.1	4.7	3	1	NaN
CML158Q	6	8	8	4	NaN	0	4	6	7	8	6	NaN	NaN	NaN	NaN	86.5	63	102	84	NaN	NaN	NaN	NaN	95	121	83	63	95	81	76	NaN	80	NaN	NaN	1106.89889	1053.05278	1059.163335	1005.27389	1097.05278	951.94222	NaN	NaN	NaN	1154.52	964.80278	1050.733055	962.22111	1059.163335	972.77389	1055.77389	936.110555	953	1125.163335	NaN	NaN	NaN	56.1658325	90.831665	0	32.5	41.27389	15.831665	NaN	NaN	NaN	407	319	NaN	329	347.5	311	398	NaN	252	178	NaN	215	209.5	175	239	NaN	25	27	NaN	13	18	18	21	NaN	NaN	220	188	197	25	35	17	12	NaN	9	2	4	NaN	NaN	155	NaN	155	75	160	175	165	110	180	170	NaN	100	NaN	95	30	85	115	90	70	105	115	NaN	NaN	871	894	908.75	585	754	880	871	NaN	950	114	109	113	53	111	129	112	NaN	138	65	NaN	NaN	50	70	NaN	NaN	NaN	NaN	NaN	NaN	80	NaN	65	NaN	NaN	1	0	1	NaN	NaN	NaN	126	146	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.75	66.69	67.44	NaN	NaN	NaN	NaN	13.76	12.09	12.23	NaN	NaN	NaN	3.71	4.33	4.24	NaN	NaN	3	NaN	NaN	NaN	8.5	8.5	8	NaN	NaN	26.42	23.185	31	29	28.885	NaN	NaN	NaN	19.135	3.65	27.6	19	18.05	NaN	NaN	NaN	NaN	31.65	44	NaN	39.22	NaN	NaN	NaN	151.073	44.565	152	NaN	112.195	NaN	NaN	NaN	39.9	141	NaN	105.02	NaN	NaN	NaN	NaN	11	16	16	15	NaN	NaN	NaN	NaN	12.5	140	NaN	NaN	NaN	NaN	9.1	139	62	44.6	NaN	NaN	NaN	NaN	6	28	18.5	NaN	NaN	NaN	3.7	4.7	2.8	2.8	NaN	2	2	NaN
CML218	12	5	10	5	NaN	1	7	6.5	8	14	5	NaN	NaN	92	123	81.5	56	93	81	85	NaN	77	NaN	95	121	81.5	57	91	83	86	NaN	76	NaN	964.80278	1026.02639	893.610555	948.610555	949.163335	1055.77389	891.663335	1111	1074.5	NaN	1154.52	964.80278	1026.02639	885.27389	964.44222	930.831665	1084.913335	891.663335	1128.02389	1054.25	NaN	-41.83	0	0	8.331665	-15.831665	18.331665	-29.134445	0	-17.02389	20.25	NaN	373	308	383	NaN	345.5	318	384	340	205	176	234	NaN	194.5	124	221	175	16	13	16.5	NaN	18	23	20	20	NaN	178	184	176	23	17	15	13	NaN	5	1	3	5	NaN	170	140	162.5	85	150	185	165	95	195	215	NaN	90	60	72.5	30	65	100	65	40	110	120	NaN	4.5	957	850	870	538	938	983	933	991	1032	126	88	114.25	76	76	112	102	120	150	80	NaN	60	45	65	NaN	85	NaN	NaN	NaN	NaN	65	NaN	55	NaN	NaN	1	0.5	0	NaN	NaN	85	108	130	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.795	NaN	65	63.59	NaN	NaN	NaN	13.355	NaN	13.49	14.96	NaN	NaN	4.11	NaN	4.79	5.02	NaN	2	NaN	NaN	NaN	8	8	7	NaN	NaN	24.41	26.05	28	24	26.775	32.5	NaN	NaN	17.3475	13.4	15.7	15.4	24.45	19.3	NaN	NaN	30.7225	36.39	40	33	35.91	39.5	NaN	NaN	117.88	115.44	101	121	159.875	138.5	NaN	NaN	105.07	85	111	144.85	124	NaN	NaN	11.25	14	14	12	13	10	NaN	NaN	42.5	40	70	NaN	NaN	NaN	42.2	48.2	59	54	78.65	53.5	NaN	NaN	18.5	18	13	30	NaN	NaN	3.8575	4.9	5.3	4.6	3.95	3.2	3	2	NaN
CML220	1	1	6	3	NaN	0	3	6.5	5	7	4	NaN	NaN	NaN	120	75.5	56	85	72	76	NaN	72	NaN	NaN	117	74	56	81	72	75	NaN	70	NaN	NaN	921.1658325	789.163335	948.610555	856.384445	910.02389	815	953	975.94222	NaN	NaN	964.80278	894.6922225	765	948.610555	805.27389	910.02389	806.110555	937.97111	939.44222	NaN	NaN	NaN	26.47111	24.163335	0	51.110555	0	8.884445	15.02389	36.5	NaN	275	295	307	264	NaN	327	312	314	125	148	161	158	NaN	162	184	175	27	27	19.5	15	16	22	15	23	NaN	176	NaN	163	25	21	13	13	NaN	4	NaN	5	NaN	NaN	70	95	122.5	80	100	130	120	75	125	125	NaN	35	35	42.5	30	40	55	60	25	60	55	NaN	NaN	NaN	672	638	717	773	783	731	748	757.5	NaN	77	73.25	64	63	81	86	78	85	80	NaN	62.5	50	35	40	50	60	NaN	NaN	NaN	70	NaN	70	NaN	NaN	0	0.5	0	NaN	NaN	55	NaN	134	2	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.86	71.4	NaN	65.95	NaN	NaN	NaN	16.135	12.99	NaN	17.22	NaN	NaN	3.805	3.65	NaN	3.46	NaN	2	NaN	NaN	NaN	8.25	8.25	6.5	NaN	NaN	28.2925	26.89	31	31	29.845	33	NaN	NaN	13.575	11.32	5.8	19.9	21.4	16.4	NaN	34	NaN	38.47	33	45	41.225	42	NaN	144	120.7675	121.91	91	146	130.71	148	NaN	123	113.95	67	138	127.795	144	NaN	NaN	NaN	14	11	14	14	14	NaN	NaN	NaN	75	20	NaN	NaN	NaN	NaN	71.16	23	74	86.25	73	NaN	NaN	NaN	23	11	22	NaN	NaN	NaN	4.95	5	6.8	6.16	5.6	2	2	NaN
CML228	11	7	10.5	6	NaN	6	9	6.5	9	13	7	NaN	NaN	NaN	NaN	90.5	58	NaN	88	NaN	NaN	84	NaN	96	NaN	88	58	106	86	NaN	NaN	84	NaN	NaN	1185.05277	901.663335	980.55278	NaN	1154.25	866.663335	NaN	1196.72111	NaN	1167.47	NaN	1136.718613	913.05278	980.55278	1005.27389	1124.69222	879.44222	NaN	1196.72111	NaN	NaN	NaN	48.3316575	-11.384445	0	NaN	29.55278	-12.77389	NaN	0	NaN	412	353	372	309	333	330	409	396	286	217	241	219	182	207	277	249	10	9	10	7	9	11	12	12	NaN	274	193	236	17	31	19	15	NaN	6	4	5	7	NaN	160	155	152.5	105	135	NaN	135	130	170	170	NaN	85	100	95	40	65	NaN	70	65	115	90	NaN	4	917	835	979	NaN	887	1028	882	990	1012	98	62	98.5	NaN	95	86	108	106	127	85	NaN	NaN	55	60	NaN	NaN	NaN	NaN	NaN	75	70	NaN	NaN	NaN	NaN	0	0	0	NaN	NaN	NaN	89	149	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.8	NaN	NaN	NaN	NaN	NaN	NaN	12.88	NaN	NaN	NaN	NaN	NaN	3.84	NaN	NaN	NaN	3	NaN	NaN	NaN	8.25	8.25	7	NaN	NaN	17.3025	16.34	27	NaN	NaN	NaN	NaN	NaN	7.8175	1.45	15	NaN	NaN	NaN	NaN	NaN	NaN	22.895	39	NaN	NaN	NaN	NaN	NaN	145.79	74.705	126	NaN	NaN	NaN	NaN	NaN	68.03	111	NaN	NaN	NaN	NaN	NaN	NaN	10	14	NaN	NaN	NaN	NaN	NaN	NaN	22.5	70	NaN	NaN	NaN	NaN	13.8	63	NaN	NaN	NaN	NaN	NaN	NaN	14	18	NaN	NaN	NaN	NaN	2	6	NaN	NaN	NaN	2	4	NaN
CML238	0	1	11	5	NaN	0	1	6	7	8	7	NaN	NaN	NaN	125	86.5	60	93	86	NaN	NaN	84	NaN	NaN	121	84	59	93	82	87	NaN	82	NaN	NaN	1109.75	976.663335	1014.163335	949.163335	1124.69222	936.110555	NaN	1196.72111	NaN	NaN	NaN	1067.1225	936.94222	997.22111	949.163335	1071.80278	936.110555	1144.05278	1159.97111	NaN	NaN	NaN	42.6225	39.72111	16.94222	0	52.884445	0	NaN	36.75	NaN	NaN	358	341	310	352	357	354	390	NaN	221	233	221	232	187	202	227	NaN	33	32	20	22.5	34	35	33	NaN	240	193	224	0	30	0	14	NaN	9	4	7	9	NaN	NaN	160	132.5	75	110	155	140	115	145	140	NaN	NaN	75	60	25	45	95	70	50	100	60	NaN	NaN	NaN	909	771	591	743	795	813	826	833	NaN	107	94.75	63	103	108	105	100	108	NaN	NaN	NaN	55	70	NaN	NaN	NaN	NaN	NaN	65	65	NaN	50	NaN	NaN	NaN	1	1	NaN	NaN	NaN	93	150	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.41	70.72	67.9	65.82	NaN	NaN	NaN	15.01	13.7	12.73	14.03	NaN	NaN	4.79	3.65	4.37	4.35	NaN	2	NaN	NaN	NaN	8	8.25	7	24	NaN	26.3325	29.58	29	37	29.575	NaN	34	NaN	13.2975	5.8	14.2	22.7	19.75	NaN	38	NaN	NaN	36.19	41	49	42.555	NaN	169	NaN	119.2825	54.15	117	141	156.19	NaN	122	NaN	48.67	106	107	134.47	NaN	NaN	NaN	NaN	14	12	18	17	NaN	90	NaN	NaN	20	70	NaN	NaN	NaN	NaN	17.6	71	83	70.2	NaN	NaN	NaN	NaN	8	20	27	NaN	NaN	NaN	4.4	4.8	4.4	3	NaN	3	2	NaN
CML247	1	2	2.5	1	NaN	3	7	2.5	6	4	6	NaN	NaN	NaN	123	90	66	106	87	NaN	NaN	82	NaN	94	121	89	64	106	84	NaN	NaN	82	NaN	964.80278	1169	1065.27389	1104.44222	1005.27389	1138.75	1029.44222	NaN	1159.97111	NaN	1139.86	964.80278	1151.610555	1081.94222	1074.44222	1005.27389	1097.05278	989.72111	NaN	1159.97111	NaN	NaN	0	17.386945	-16.663335	30	0	41.69222	39.72111	NaN	0	NaN	341	331	351	NaN	NaN	317	342	388.5	250.5	240	259	NaN	NaN	217	235	297.5	12	16	12	NaN	11	13	13	8	294	244	NaN	254	NaN	35	NaN	14	2	1	NaN	1	1.5	NaN	130	170	135	90	145	170	160	110	145	160	NaN	80	85	77.5	40	80	105	85	65	95	90	NaN	4	829	968	869.25	727	974	914	864	802	921	90	97	89	81	69	94	96	92	94	75	NaN	NaN	55	75	NaN	75	NaN	NaN	NaN	70	65	NaN	45	NaN	NaN	NaN	0	0	NaN	NaN	NaN	98	132	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.24	NaN	NaN	NaN	NaN	NaN	NaN	13.93	NaN	NaN	NaN	NaN	NaN	3.23	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	8.75	8.5	8	NaN	NaN	21.37	NaN	NaN	NaN	27.59	NaN	NaN	NaN	14.615	NaN	NaN	NaN	27.35	NaN	NaN	NaN	33.595	NaN	NaN	NaN	42.495	NaN	NaN	NaN	192.24	NaN	NaN	NaN	140.735	NaN	NaN	NaN	NaN	NaN	NaN	126.445	NaN	NaN	NaN	9	NaN	NaN	NaN	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	89.7	NaN	NaN	NaN	25.5	NaN	NaN	25.5	NaN	NaN	4.79	NaN	NaN	NaN	4.1	NaN	3	2	NaN
CML254	2	12	9	6	NaN	4	6	6.5	9	14	6	NaN	NaN	NaN	NaN	118	61	NaN	108	NaN	NaN	98	NaN	NaN	NaN	111	63	NaN	101	NaN	NaN	98	NaN	NaN	1362.11054	1016.94222	1028.331665	NaN	1363.77389	1029.44222	NaN	NaN	NaN	NaN	NaN	1362.11054	990.27389	1059.163335	NaN	1363.77389	1017.77389	NaN	1415.52389	NaN	NaN	NaN	0	26.663335	-30.831665	NaN	0	11.663335	NaN	NaN	NaN	NaN	NaN	NaN	283	304	311	NaN	NaN	NaN	NaN	NaN	203	201.5	178	NaN	NaN	NaN	NaN	NaN	7	9.5	13	NaN	NaN	NaN	NaN	194	198	NaN	17	NaN	17	NaN	NaN	2	4	NaN	NaN	NaN	NaN	NaN	95	170	NaN	205	110	175	195	NaN	NaN	NaN	NaN	40	95	NaN	140	65	NaN	100	NaN	4.5	984	941	NaN	871	927	1143	NaN	NaN	873	93	85	NaN	65	93	86	NaN	NaN	89	NaN	NaN	NaN	60	75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55	NaN	NaN	0	0.5	0	NaN	NaN	NaN	NaN	161	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.02	NaN	NaN	NaN	NaN	NaN	NaN	12.1	NaN	NaN	NaN	NaN	NaN	4.24	NaN	NaN	2	NaN	NaN	NaN	8	8.25	6	NaN	NaN	15.28	22.35	23	NaN	NaN	NaN	NaN	NaN	3.68	9.9	9.8	NaN	NaN	NaN	NaN	NaN	NaN	31.28	37	NaN	NaN	NaN	NaN	NaN	86.48	109.57	107	NaN	NaN	NaN	NaN	NaN	102.5	93	NaN	NaN	NaN	NaN	NaN	NaN	10	10	NaN	NaN	NaN	NaN	NaN	NaN	35	70	NaN	NaN	NaN	NaN	40.3	65	NaN	NaN	NaN	NaN	NaN	NaN	23	22	NaN	NaN	NaN	NaN	2.8	4.6	NaN	NaN	NaN	1	2	NaN
