Trait	Genotype	Residual	e	Heritability
20KernelWeight	0.5856418886986428	0.8318974434959144	3.559862684934836	0.7147814892410599
CobDiameter	6.67727089961016	6.40387959123199	4.92037021595931	0.8368792591922583
CobWeight	21.37768623058835	47.86027516967373	4.8990265872439345	0.6863475004866392
DaystoSilk	74.4539393656279	16.50644186397358	7.197731269249144	0.9701189973132712
DaysToTassel	70.74679283311393	15.114162406371143	7.6213231732911435	0.9727328020352725
EarDiameter	12.257902351451005	12.712031514030727	4.408374411935599	0.8095560241919194
EarHeight	305.45156847064663	155.66207137002922	8.968539439687927	0.9462328818801412
EarLength	269.273281958248	385.53058348370826	4.988376516336277	0.7769910223564288
EarRankNumber	9.005217332885127	26.727282678427017	2.92577984940839	0.49642013779556476
EarRowNumber	2.7606315814854896	2.1873392142390915	4.285323858977863	0.8439569798092172
EarWeight	312.27488262160983	587.9003258050942	3.8527042577675488	0.6717480124826651
GDDAnthesis-SilkingInterval	222.00105926352813	543.915339615463	8.29325994027054	0.7719459150445848
GDDDaystoSilk	10586.74251918585	3332.0143335693456	7.787357585888357	0.9611539084670445
GDDDaystoTassel	10916.120668274421	2714.707712947507	8.751405796205896	0.9723682929584819
GerminationCount	2.4760201844837235	7.490002431698697	5.987215909090909	0.6643432501493108
LeafLength	10710.480994317526	4035.494336082203	8.061567185418777	0.9553490831900122
LeafWidth	159.4170615937078	96.33537320610354	8.166626301767984	0.9311021557565554
MainSpikeLength	1271.5424172741518	782.6248444649231	6.6413438001181735	0.9151844562500864
MiddleLeafAngle	69.24193406063162	56.51555279662087	2.3947368421052633	0.7458053138464079
NIROil	0.48251751280337835	0.2886538762527	2.715067130780706	0.8194470333936087
NIRProtein	1.366113029750801	1.471830257526904	2.715067130780706	0.715913276670638
NIRStarch	4.653083352162945	4.277878887056571	2.715067130780706	0.7470403983384164
PlantHeight	428.902416334625	253.67626254582345	9.074622275191265	0.9388113181665506
SecondaryBranchNumber	1.9998196779477395	1.1756417158047436	2.6070821091696303	0.815999385699659
SeedSetLength	207.83368610045605	429.24366143046484	3.673278150866781	0.640099938763373
SouthernLeafBlight	1.2736699908815519	0.5665402577602023	2.8624787775891343	0.8655063332765839
Spikelets-MainSpike	25.223482283550762	59.64717603303856	1.8241042345276872	0.4354663732469482
Spikelets-PrimaryBranch	15.091372038468	25.581851947982653	1.8064516129032258	0.5158957631554765
StandCount	0.578562865088675	3.0465320559305056	3.9717314487632507	0.4299611037868844
TasselBranchLength	1299.7833955265314	799.1086046090627	2.412060301507538	0.7968848820913803
TasselLength	1820.4693021612204	984.9976285922917	6.656702106658394	0.9248283893983353
TasselPrimaryBranches	22.141542177979435	8.580771535719823	6.88765684271958	0.9467311132382423
TilleringIndex	0.01508309307523276	0.16390987726903422	2.4051355206847362	0.18121519566687366
TotalKernelVolume	157.8153244342958	759.1162312671617	2.279339076401638	0.3215093955789588
TotalKernelWeight	200.43771953350856	445.8780490244706	3.763670526265076	0.628515319450549
UpperLeafAngle	189.30090046328988	107.18577546575989	5.761570005858231	0.9105186594694613
